Image_lien,Prix,Adresse,Nom
https://images.coinafrique.com/thumb_5180835_uploaded_image1_1739284491.jpg,100 000CFA,"Diamniadio, Sénégal",Chiot Chihuahua pure race
https://images.coinafrique.com/thumb_5180774_uploaded_image1_1739281622.jpg,180 000CFA,"Saly, Sénégal",Chiot Malinois
https://images.coinafrique.com/thumb_5178208_uploaded_image1_1739149958.jpg,Prix sur demande,"Dakar, Sénégal",Chiots Dogo Canario
https://images.coinafrique.com/thumb_5173038_uploaded_image1_1738846508.jpg,350 000CFA,"Diamniadio, Sénégal",Chiot Berger Allemand
https://images.coinafrique.com/thumb_5162631_uploaded_image1_1738336899.jpg,350 000CFA,"Sacré-Coeur, Dakar, Sénégal",Chiot Husky
https://images.coinafrique.com/thumb_5161997_uploaded_image1_1738308372.jpg,350 000CFA,"Sacré-Coeur, Dakar, Sénégal",Chiot Rottweiler
https://images.coinafrique.com/thumb_5159624_uploaded_image1_1738174976.jpg,500 000CFA,"Yoff, Dakar, Sénégal",Chiot
https://images.coinafrique.com/thumb_5158454_uploaded_image1_1738138116.jpg,400 000CFA,"HLM, Dakar, Sénégal",Chiots Doberman
https://images.coinafrique.com/thumb_5155571_uploaded_image1_1737992590.jpg,300 000CFA,"Dakar Plateau, Dakar, Sénégal",Chien Rottewaler
https://images.coinafrique.com/thumb_5153382_uploaded_image1_1737859974.jpg,400 000CFA,"Sacré-Coeur, Dakar, Sénégal",Chiot Husky
https://images.coinafrique.com/thumb_5151738_uploaded_image1_1737744308.jpg,300CFA,"Thies, Sénégal",Chiots Berger Malinois
https://images.coinafrique.com/thumb_5151279_uploaded_image1_1737725407.jpg,300CFA,"Thies, Sénégal",Chiot Berger Malinois charboné
https://images.coinafrique.com/thumb_5142846_uploaded_image1_1737318079.jpg,140 000CFA,"Mamelles, Dakar, Sénégal",Bichon
https://images.coinafrique.com/thumb_5136517_uploaded_image1_1736959572.jpg,Prix sur demande,"Mbao, Dakar, Sénégal",Chiot Labrador
https://images.coinafrique.com/thumb_5133780_uploaded_image1_1736845188.jpg,175 000CFA,"Mamelles, Dakar, Sénégal",Chiots Bichons
https://images.coinafrique.com/thumb_5131922_uploaded_image1_1736729395.jpg,250 000CFA,"Dakar, Sénégal",Chiot Berger Allemand
https://images.coinafrique.com/thumb_5131391_uploaded_image1_1736694346.jpg,150 000CFA,"Mamelles, Dakar, Sénégal",Bichon femelle vaccinée
https://images.coinafrique.com/thumb_5127870_uploaded_image1_1736462557.jpg,150 000CFA,"Mamelles, Dakar, Sénégal",Bichon femelle vaccinée
https://images.coinafrique.com/thumb_5127074_uploaded_image1_1736431592.jpg,250 000CFA,"Sacré-Coeur, Dakar, Sénégal",Chiot Berger Allemand
https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg,275CFA,"Dakar, Sénégal",Chien
https://images.coinafrique.com/thumb_5123496_uploaded_image1_1736258658.jpg,150 000CFA,"Sicap Liberté, Dakar, Sénégal",Chiot pitbull 4 mois
https://images.coinafrique.com/thumb_5118298_uploaded_image1_1735944932.jpg,Prix sur demande,"Dakar, Sénégal",Chiot Husky
https://images.coinafrique.com/thumb_5114859_uploaded_image1_1735753685.jpg,140 000CFA,"Ouakam, Dakar, Sénégal",Chiot Bichon
https://images.coinafrique.com/thumb_5114394_uploaded_image1_1735682024.jpg,210 000CFA,"Fann, Dakar, Sénégal",Chiot Berger Allemand
https://images.coinafrique.com/thumb_5112459_uploaded_image1_1735553703.jpg,Prix sur demande,"Keur Massar, Sénégal",Chiots dog canaries
https://images.coinafrique.com/thumb_5110151_uploaded_image1_1735383035.jpg,120 000CFA,"Mamelles, Dakar, Sénégal",bichon mâle adulte
https://images.coinafrique.com/thumb_5107152_uploaded_image1_1735162803.jpg,80 000CFA,"Ouakam, Dakar, Sénégal",Chiot
https://images.coinafrique.com/thumb_5104979_uploaded_image2_1734994461.jpeg,Prix sur demande,"Mbao, Dakar, Sénégal",Chiot Bichon Maltais
https://images.coinafrique.com/thumb_5102655_uploaded_image1_1734829952.jpg,200 000CFA,"Sacré-Coeur, Dakar, Sénégal",Berger allemand femelles
https://images.coinafrique.com/thumb_5102644_uploaded_image1_1734828275.jpg,200 000CFA,"Sacré-Coeur, Dakar, Sénégal",Berger allemand femelles
