web-scraper-order,web-scraper-start-url,Data004,Data004-href,Noms,Prix,Adresse,Image-src
"1739065947-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1739065950-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Carpe Koï Japonaise ( Aquarium)","https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-japonaise-aquarium-827220","Carpe Koï Japonaise ( Aquarium)","50 000 CFA","Dakar-Plateau, Dakar, Sénégal",""
"1739065952-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png"
"1739065955-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Poisson d'aquarium","https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425","Poisson d'aquarium","35 000 CFA","Sénégal",""
"1739065957-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-885779","Bœuf","400 000 CFA","Guediawaye, Dakar, Sénégal",""
"1739065959-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chèvre Balami","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895","Chèvre Balami","200 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png"
"1739065962-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Verrat de race Large white","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881","Verrat de race Large white","200 000 CFA","Sénégal","https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png"
"1739065964-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Caille","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Caille","1 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5001807_uploaded_image1_1729346954.jpg"
"1739065967-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies  bourbonaises","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474","Oies  bourbonaises","50 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png"
"1739065969-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Mouton ladoum pure sang","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png"
"1739065972-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png"
"1739065974-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114","Bœufs","350 000 CFA","Sénégal",""
"1739065977-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png"
"1739065979-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies","60 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1739065982-15","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739","Oies","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1739065984-16","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cailles","https://sn.coinafrique.com/annonce/autres-animaux/cailles-1376905","Cailles","12 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4454743_uploaded_image1_1699793813.jpg"
"1739065995-17","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1389654","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg"
"1739065998-18","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oiseaux exotiques","https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-1393968","Oiseaux exotiques","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3773129_uploaded_image1_1657027947.jpg"
"1739066000-19","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395598","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg"
"1739066003-20","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395711","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg"
"1739066006-21","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies de guinée","https://sn.coinafrique.com/annonce/autres-animaux/oies-de-guinee-1417652","Oies de guinée","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_3418166_uploaded_image1_1635935843.jpg"
"1739066008-22","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421196","Cheval","400 000 CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png"
"1739066011-23","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421206","Cheval","400 000 CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png"
"1739066013-24","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies toulouse","https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-1428089","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1739066016-25","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1441558","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg"
"1739066018-26","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453830","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1739066021-27","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453837","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png"
"1739066023-28","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Biscuit en poudre pour betail","https://sn.coinafrique.com/annonce/autres-animaux/biscuit-en-poudre-pour-betail-1459836","Biscuit en poudre pour betail","4 000 CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png"
"1739066026-29","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindes - canards et colverts","https://sn.coinafrique.com/annonce/autres-animaux/dindes-canards-et-colverts-1490889","Dindes - canards et colverts","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png"
"1739066028-30","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-1495773","Bœuf","700 000 CFA","Saint Louis, Sénégal",""
"1739066031-31","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1500655","Vaches","275 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4753935_uploaded_image1_1716257776.jpg"
"1739066033-32","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple de chèvre","https://sn.coinafrique.com/annonce/autres-animaux/couple-de-chevre-1521675","Couple de chèvre","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png"
"1739066036-33","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-1544433","Boeufs","750 000 CFA","Tambacounda, Sénégal","https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png"
"1739066038-34","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-1606230","Bœuf","600 000 CFA","Keur Massar, Sénégal",""
"1739066041-35","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat siamois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1825906","Chat siamois","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png"
"1739066044-36","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindon rouge","https://sn.coinafrique.com/annonce/autres-animaux/dindon-rouge-1890125","Dindon rouge","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png"
"1739066046-37","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat Siamois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1899735","Chat Siamois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3613416_uploaded_image1_1647551529.jpg"
"1739066048-38","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1934309","Perruches","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png"
