web-scraper-order,web-scraper-start-url,Data003,Data003-href,Details,Prix,Adresse,Image-src
"1739231634-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux Angora Californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729692","","Prix sur demande","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729692_uploaded_image1_1562719154.82.png"
"1739231637-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-729710","On livre partout à Dakar .

Juste vous payer le prix de votre poulet et la livraison est faite .","3 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png"
"1739231639-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux angora Californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729715","","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729715_uploaded_image1_1562719494.94.png"
"1739231642-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin géant","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-761183","Un couple géant des Flandre issu d'un mâle fauve géant des flandre pur sang importé et tatoué.","70 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png"
"1739231645-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-774940","Couple de lapins demi sang géants des Flandres, disponible","40 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png"
"1739231647-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-798654","Meilleure qualité poulet de chair poids 2.kg à seulement 2000","2 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg"
"1739231650-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coqs Brahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-brahmane-841858","Bonjour je vends des coqs et poussins de Brahmane pur sang","5 000 CFA","Thies Ouest, Thiès, Sénégal","https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png"
"1739231652-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin Buchka","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-buchka-848961","Lapin de Race Buchka Pur sang","7 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_848961_uploaded_image1_1566052780.75.png"
"1739231655-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coq et poussins bleus","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-et-poussins-bleus-855420","Disponibles.","15 000 CFA","Sénégal","https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png"
"1739231657-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Race bleu d' hollande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/race-bleu-d-hollande-858710","","800 CFA","Sénégal","https://images.coinafrique.com/thumb_3879030_uploaded_image1_1663241521.jpg"
